company,date,sentiment,positive_score,negative_score,neutral_score,prev_positive_score,sentiment_delta,stock_pct_change
AAPL,2016-04-26,positive,0.5320222001108859,0.1989451616278125,0.2690326377956403,0.2464019085746258,0.28562029153626006,-0.694755684362867
AAPL,2016-07-26,neutral,0.4295645686797797,0.0807320070452988,0.4897034242749214,0.5320222001108859,-0.10245763143110614,-0.6882991215118307
AAPL,2016-10-25,neutral,0.2868773835814661,0.3177738512555758,0.3953487719926569,0.4295645686797797,-0.14268718509831363,0.5099779275654124
AAPL,2017-01-31,positive,0.5139864776283503,0.0501785565866157,0.4358349698595702,0.2868773835814661,0.22710909404688417,-0.23018143564806923
AAPL,2017-05-02,neutral,0.3381868177093565,0.0389739427482709,0.6228392235934734,0.5139864776283503,-0.17579965991899377,0.6345006712981736
AAPL,2017-08-01,neutral,0.1774754291400313,0.0301144063705578,0.7924101762473583,0.3381868177093565,-0.16071138856932518,0.8875238247796281
AAPL,2017-11-02,neutral,0.3445118009112775,0.0268561288248747,0.6286320611834526,0.1774754291400313,0.16703637177124617,0.7310348549937071
AAPL,2018-02-01,neutral,0.2044907964300364,0.1007112470688298,0.6947979666292667,0.3445118009112775,-0.14002100448124108,0.2090684640251654
AAPL,2018-05-01,positive,0.4736370537430048,0.2052129135699942,0.3211500332690775,0.2044907964300364,0.2691462573129684,2.323616520859569
AAPL,2018-07-31,neutral,0.3749346043914556,0.0434859053930267,0.5815794840455055,0.4736370537430048,-0.0987024493515492,0.20012213298445666
AAPL,2018-11-01,neutral,0.4090412424548584,0.0697757073623292,0.5211830540176701,0.3749346043914556,0.034106638063402805,1.5352351052671038
AAPL,2019-01-29,neutral,0.4142864421010017,0.0916593796573579,0.4940541721880436,0.4090412424548584,0.005245199646143284,-1.036468815826586
AAPL,2019-04-30,neutral,0.35383960728844,0.06996993192782,0.5761904641985893,0.4142864421010017,-0.06044683481256169,-1.9256406863939048
AAPL,2019-07-30,neutral,0.3942624687084129,0.0218337706423231,0.5839037810053144,0.35383960728844,0.04042286141997292,-0.4292491159923323
AAPL,2019-10-30,neutral,0.3143015823193958,0.0157626795449427,0.6699357117925372,0.3942624687084129,-0.0799608863890171,-0.012328937623020007
AAPL,2020-01-28,positive,0.5833983807824552,0.1746012367075309,0.2420003942679613,0.3143015823193958,0.2690967984630594,2.8289297749398714
AAPL,2020-04-30,neutral,0.1946446154532688,0.1541881211368101,0.6511672658047506,0.5833983807824552,-0.3887537653291864,2.109557677960874
AAPL,2020-07-30,neutral,0.1175377046955483,0.1979690272627132,0.6844932734966278,0.1946446154532688,-0.0771069107577205,1.2100193221374653
AMD,2016-04-21,positive,0.4831361530277018,0.1598817376563182,0.3569821061996313,0.4661031187822421,0.01703303424545971,-2.9629689152511154
AMD,2016-07-21,positive,0.6690678160924178,0.014989795593115,0.3159423956217674,0.4831361530277018,0.18593166306471604,-3.512015944165805
AMD,2016-10-20,positive,0.6139382625168021,0.0589824029329148,0.3270793289623477,0.6690678160924178,-0.055129553575615775,2.806500114560656
AMD,2017-01-31,positive,0.4685267681041016,0.2034193146257446,0.3280538940229095,0.6139382625168021,-0.14541149441270046,-2.2620148810949656
AMD,2017-05-01,positive,0.5590400218677062,0.1569147099239322,0.284045272721694,0.4685267681041016,0.09051325376360458,2.406012708534689
AMD,2017-07-25,positive,0.5267410219780037,0.1773443471174687,0.2959146341308951,0.5590400218677062,-0.03229899988970253,-0.353108695435483
AMD,2017-10-24,positive,0.623339186555573,0.1087749527235116,0.2678858652444822,0.5267410219780037,0.09659816457756931,1.0638270529935836
AMD,2018-01-30,positive,0.5481005831311146,0.1012668758630752,0.350632527222236,0.623339186555573,-0.07523860342445832,-3.3783770238372766
AMD,2018-04-25,positive,0.5371301131589072,0.1215452748084706,0.3413246311247349,0.5481005831311146,-0.010970469972207408,-3.7661061317571463
AMD,2018-07-25,positive,0.6242836063106855,0.0790516675139467,0.2966647130747636,0.5371301131589072,0.08715349315177823,-0.8647392982017557
AMD,2018-10-24,positive,0.4839174009859562,0.2264241253957152,0.289658467285335,0.6242836063106855,-0.14036620532472927,-9.16699570774341
AMD,2019-01-29,positive,0.6527980417013168,0.1388612053357064,0.2083407865216334,0.4839174009859562,0.16888064071536063,-4.608524732961744
AMD,2019-04-30,positive,0.5341588062389443,0.2357135984348133,0.2301275779803594,0.6527980417013168,-0.11863923546237254,-0.21668967906741743
AMD,2019-07-30,positive,0.5335170437271396,0.1965089159396787,0.2699740262081225,0.5341588062389443,-0.0006417625118046999,1.1648727448649994
AMD,2019-10-29,positive,0.5615070866686958,0.0823931297553437,0.3560997840416218,0.5335170437271396,0.02799004294155616,-1.9590379172318226
AMD,2020-01-28,positive,0.6022692559553045,0.0851584299068365,0.3125723086829696,0.5615070866686958,0.040762169286608696,2.5781577365757076
AMD,2020-04-28,positive,0.5885618801361748,0.1502079270513994,0.2612301985334073,0.6022692559553045,-0.013707375819129619,-1.7348262131618195
AMD,2020-07-28,positive,0.6319587837372508,0.0938218597854886,0.2742193603355969,0.5885618801361748,0.04339690360107595,-1.971872678383139
AMZN,2016-04-28,positive,0.4710233631647295,0.1925738332793116,0.3364027962088585,0.6001899912953377,-0.1291666281306082,-0.7534179421263076
AMZN,2016-07-28,positive,0.5936586163938046,0.048787563573569,0.3575537998229265,0.4710233631647295,0.12263525322907509,2.1637935221762192
AMZN,2016-10-27,neutral,0.4690233170986175,0.0308158731620226,0.5001608229109219,0.5936586163938046,-0.12463529929518707,-0.5142344747451552
AMZN,2017-02-02,positive,0.4696823954582214,0.115148895245511,0.4151687053963542,0.4690233170986175,0.0006590783596038818,0.9130799911785555
AMZN,2017-04-27,neutral,0.4658532068133354,0.0407716956688091,0.4933750918135047,0.4696823954582214,-0.0038291886448859613,0.9996773015089636
AMZN,2017-07-27,neutral,0.3971684085471289,0.1130409528102193,0.4897906205483845,0.4658532068133354,-0.06868479826620649,-0.6458969538946291
AMZN,2017-10-26,neutral,0.4868114909955433,0.0131174081138202,0.5000710923756871,0.3971684085471289,0.08964308244841435,-0.04934079227259831
AMZN,2018-02-01,positive,0.512443978871618,0.058334803607847,0.429221220846687,0.4868114909955433,0.025632487876074694,-4.196737400527714
AMZN,2018-04-26,positive,0.5551578806979316,0.0518210206979087,0.3930211210889475,0.512443978871618,0.04271390182631363,3.957763154732234
AMZN,2018-07-26,positive,0.5195949412882328,0.0181542983544724,0.4622507491814239,0.5551578806979316,-0.03556293940969879,-2.983987854605705
AMZN,2018-10-25,positive,0.5154550511922155,0.1250968692558152,0.3594480779554163,0.5195949412882328,-0.00413989009601734,7.088689580645526
AMZN,2019-01-31,neutral,0.2076577395200729,0.1840104268242915,0.6083318392435709,0.5154550511922155,-0.3077973116721425,2.8914721671859716
AMZN,2019-04-25,neutral,0.4161389652225706,0.0127459075301885,0.571115123728911,0.2076577395200729,0.2084812257024977,0.0262931778390474
AMZN,2019-07-25,positive,0.5424073388179144,0.0340060773822996,0.4235865800744957,0.4161389652225706,0.12626837359534376,-1.348948652691003
AMZN,2019-10-24,positive,0.5387612586574895,0.0168111501261591,0.444427626473563,0.5424073388179144,-0.0036460801604248916,1.0560886524610824
AMZN,2020-01-30,positive,0.4454962568623679,0.1486628680889095,0.4058408556239946,0.5387612586574895,-0.0932650017951216,0.6824489189870825
AMZN,2020-04-30,neutral,0.3860811129212379,0.1476985122077167,0.4662203680723905,0.4454962568623679,-0.059415143941129955,4.268957423996412
AMZN,2020-07-30,positive,0.6014907598495484,0.0535792239941656,0.344930014014244,0.3860811129212379,0.21540964692831044,0.6049030252796931
ASML,2016-04-20,neutral,0.239561570665011,0.0499754798097106,0.7104629455850675,0.3378801604111989,-0.0983185897461879,-3.3283048363956245
ASML,2016-07-20,neutral,0.2457738779485225,0.0910558125314613,0.6631702989339828,0.239561570665011,0.00621230728351152,2.3951693626657784
ASML,2016-10-19,neutral,0.2342675241331259,0.0448927523568272,0.7208397224545479,0.2457738779485225,-0.011506353815396608,1.7199062798363478
ASML,2017-01-18,neutral,0.2177453923970461,0.240675715667506,0.5415788948535919,0.2342675241331259,-0.016522131736079804,6.090940160576045
ASML,2017-04-19,neutral,0.3660785406827926,0.1221840209948519,0.5117374271154403,0.2177453923970461,0.1483331482857465,-2.87790902066797
ASML,2017-07-19,neutral,0.3638989079524489,0.0672746329732677,0.5688264729345546,0.3660785406827926,-0.002179632730343717,5.151873760870968
ASML,2017-10-18,neutral,0.320417309529148,0.1403907152125612,0.539191965945065,0.3638989079524489,-0.043481598423300905,-2.6142628389875777
ASML,2018-01-17,neutral,0.3381599036511034,0.0563039782573469,0.6055361093021929,0.320417309529148,0.01774259412195539,6.867657948283511
ASML,2018-04-18,neutral,0.2967025352021058,0.0352804909149805,0.6680169705715444,0.3381599036511034,-0.041457368448997556,-2.999536454890191
ASML,2018-07-18,neutral,0.3768465662231812,0.0271008112109624,0.5960526019334793,0.2967025352021058,0.08014403102107537,6.636003899163436
ASML,2018-10-17,neutral,0.2770492815796067,0.0319899705183856,0.6909607381505125,0.3768465662231812,-0.09979728464357451,1.8104623509811533
ASML,2019-01-23,neutral,0.3995497369152658,0.1590219176210024,0.4414283553247942,0.2770492815796067,0.12250045533565912,1.6426226898687877
ASML,2019-04-17,neutral,0.2745213117450475,0.1876483221593148,0.5378303702044136,0.3995497369152658,-0.12502842517021828,-0.12769755334939722
ASML,2019-07-17,neutral,0.3115387069992721,0.0687496050668414,0.6197116832481697,0.2745213117450475,0.037017395254224594,6.180496201357734
ASML,2019-10-16,neutral,0.3047468924067086,0.0458907757678793,0.6493623225639263,0.3115387069992721,-0.006791814592563505,-4.885269182228371
ASML,2020-01-22,positive,0.457123686942984,0.0934975071645835,0.4493788045776241,0.3047468924067086,0.1523767945362754,-0.7205013351243318
ASML,2020-04-15,neutral,0.294898155857535,0.2778635226080523,0.4272383155629915,0.457123686942984,-0.16222553108544902,-2.2288923302260613
ASML,2020-07-15,positive,0.5679375426843762,0.0316634171758778,0.4003990646451711,0.294898155857535,0.27303938682684126,-5.392720495156687
CSCO,2016-05-18,positive,0.5230857198437054,0.2141001438101132,0.2628141179680824,0.617059517186135,-0.09397379734242961,0.26263469541434054
CSCO,2016-08-17,positive,0.5480467221484735,0.1106750941835343,0.3412781724563011,0.5230857198437054,0.024961002304768054,-1.2853892063921961
CSCO,2016-11-16,positive,0.5064374801835844,0.2153059457694845,0.2782565729160394,0.5480467221484735,-0.04160924196488913,-0.410111463751499
CSCO,2017-02-15,positive,0.4952105851127551,0.2119989765521425,0.292790455242189,0.5064374801835844,-0.011226895070829246,1.578464224105559
CSCO,2017-05-17,neutral,0.3412067080537478,0.2264238996741672,0.4323693963388602,0.4952105851127551,-0.1540038770590073,-1.3994035095777733
CSCO,2017-08-16,positive,0.4955942110322854,0.1727854291196255,0.3316203516853206,0.3412067080537478,0.1543875029785376,0.7790875795079016
CSCO,2017-11-15,positive,0.6303976432491953,0.090745168344046,0.2788571827113628,0.4955942110322854,0.13480343221690994,0.20565369626713617
CSCO,2018-02-14,positive,0.5986029250281197,0.1201541276116456,0.2812429538794926,0.6303976432491953,-0.0317947182210756,2.085852232915686
CSCO,2018-05-16,positive,0.5282048519168582,0.031520144415221,0.4402750025370291,0.5986029250281197,-0.07039807311126156,-0.7035781906877574
CSCO,2018-08-15,neutral,0.4729141171555966,0.0288994190050289,0.4981864537112415,0.5282048519168582,-0.05529073476126156,-0.3181798952892563
CSCO,2018-11-14,neutral,0.4692398798134591,0.039194444556617,0.4915656867540545,0.4729141171555966,-0.0036742373421375096,-1.7508454961961362
CSCO,2019-02-13,positive,0.5258324441810449,0.0602250963449478,0.4139424686630567,0.4692398798134591,0.05659256436758581,-0.8143533395331467
CSCO,2019-05-15,neutral,0.3221746257040649,0.0873647449770942,0.5904606181429699,0.5258324441810449,-0.20365781847698,0.8073816827172696
CSCO,2019-08-14,positive,0.4060553322945322,0.3213164792396128,0.2726282042318156,0.3221746257040649,0.08388070659046731,-4.002283758293001
CSCO,2019-11-13,positive,0.4963422881869169,0.1572645570581349,0.3463931486297112,0.4060553322945322,0.09028695589238467,0.1860945496772778
CSCO,2020-02-12,positive,0.4075333245231637,0.2043149095095162,0.3881517716550401,0.4963422881869169,-0.08880896366375318,1.62829693611869
CSCO,2020-05-13,positive,0.4501293763134847,0.1459162455490406,0.4039543864919859,0.4075333245231637,0.042596051790321,-2.938451338620704
CSCO,2020-08-12,neutral,0.3382446599503358,0.1546049642687042,0.5071503710001707,0.4501293763134847,-0.1118847163631489,1.928355094258371
GOOGL,2016-04-21,positive,0.4934058429466353,0.090417928683261,0.416176229611867,0.5080257628399593,-0.014619919893323952,0.6555182086184017
GOOGL,2016-07-28,neutral,0.4646281786262989,0.0137470978726115,0.5216247255189551,0.4934058429466353,-0.028777664320336405,0.50790387525202
GOOGL,2016-10-27,neutral,0.485728102011813,0.0145042218371397,0.4997676803419987,0.4646281786262989,0.021099923385514086,-0.5777980718717397
GOOGL,2017-01-26,neutral,0.387585142484078,0.0122050923080398,0.6002097628437556,0.485728102011813,-0.098142959527735,-0.1712457119083868
GOOGL,2017-04-27,positive,0.5574909187853336,0.0129603185018317,0.4295487610830201,0.387585142484078,0.16990577630125564,0.25868045095338316
GOOGL,2017-07-24,positive,0.5625738659873605,0.0395621369243599,0.3978640140267089,0.5574909187853336,0.005082947202026844,0.449745503571144
GOOGL,2017-10-26,positive,0.590354847995674,0.0299216008142513,0.3797235528335851,0.5625738659873605,0.02778098200831347,-0.00404470258083078
GOOGL,2018-02-01,positive,0.5590864076382585,0.0213824114762246,0.4195311764876048,0.590354847995674,-0.031268440357415495,-0.053276824177821015
GOOGL,2018-04-23,neutral,0.4261713264619602,0.1047537199714604,0.4690749487456153,0.5590864076382585,-0.13291508117629824,-0.32580913937432243
GOOGL,2018-07-23,positive,0.5804969664467009,0.0630460808445748,0.3564569634434424,0.4261713264619602,0.1543256399847407,1.0952619738335878
GOOGL,2018-10-25,positive,0.5370878519283401,0.0744307751042975,0.3884813680003087,0.5804969664467009,-0.043409114518360825,4.395912684188457
GOOGL,2019-02-04,positive,0.4812855931858604,0.0886127848464709,0.4301016270541228,0.5370878519283401,-0.05580225874247968,2.0382149476756832
GOOGL,2019-04-29,positive,0.4967107650111703,0.113936778404476,0.3893524582552559,0.4812855931858604,0.015425171825309891,1.4701465157432976
GOOGL,2019-07-25,neutral,0.4346379100838128,0.066922655876945,0.4984394360114546,0.4967107650111703,-0.06207285492735748,-0.3325236463360673
GOOGL,2019-10-28,positive,0.502272279933095,0.0588189353002235,0.4389087867457419,0.4346379100838128,0.06763436984928217,1.9520591499351962
GOOGL,2020-02-03,positive,0.4707376607693732,0.0784507785865571,0.4508115688804537,0.502272279933095,-0.0315346191637218,3.477149637662162
GOOGL,2020-04-28,neutral,0.3578212927830846,0.0982887284879229,0.5438899639013567,0.4707376607693732,-0.11291636798628857,-3.0113362544954096
GOOGL,2020-07-30,positive,0.5683097165310755,0.1291951131133828,0.3024951735278591,0.3578212927830846,0.21048842374799093,0.9753939664246302
INTC,2016-04-19,neutral,0.3150122295030289,0.280199722542117,0.4047880491448773,0.2914931993931532,0.02351903010987566,-0.15796305215637932
INTC,2016-07-20,negative,0.3363641891628504,0.3638365167425945,0.2997992973541841,0.3150122295030289,0.021351959659821507,1.5362644457496242
INTC,2016-10-18,neutral,0.344498935341835,0.0927271815948188,0.5627738848328591,0.3363641891628504,0.008134746178984631,1.2335704120867552
INTC,2017-01-26,positive,0.5422896756545493,0.0862252824498634,0.3714850384153818,0.344498935341835,0.19779074031271432,-0.6349249124000663
INTC,2017-04-27,positive,0.6218864539904254,0.1966134949720331,0.181500056758523,0.5422896756545493,0.07959677833587608,1.3539013114444758
INTC,2017-07-27,positive,0.5946025922894478,0.0974074725527316,0.3079899216536432,0.6218864539904254,-0.02728386170097763,0.6330894216444328
INTC,2017-10-26,positive,0.6006616156767396,0.116728350684485,0.2826100362136083,0.5946025922894478,0.0060590233872918065,1.397718644475874
INTC,2018-01-25,positive,0.5830926878158661,0.079956904053688,0.3369504067608538,0.6006616156767396,-0.017568927860873496,-0.46145245495082393
INTC,2018-04-26,positive,0.4874599515186513,0.1327349689296063,0.3798050714985412,0.5830926878158661,-0.0956327362972148,3.2503168525499824
INTC,2018-07-26,positive,0.8252694033659421,0.0224395011766598,0.152291071243011,0.4874599515186513,0.33780945184729083,-0.5150154054415385
INTC,2018-10-25,positive,0.697499217731612,0.0813331039223287,0.2211676851979323,0.8252694033659421,-0.12777018563433007,4.455445752768763
INTC,2019-01-24,positive,0.3649640117461483,0.3513638271018863,0.2836721598481138,0.697499217731612,-0.33253520598546377,3.7964108086997426
INTC,2019-04-25,positive,0.3856998495092349,0.3390768738463521,0.275223268661648,0.3649640117461483,0.02073583776308663,-1.8903213088665451
INTC,2019-07-25,positive,0.5079547686721472,0.2350311021813575,0.2570141209837268,0.3856998495092349,0.12225491916291226,-1.4361412813064462
INTC,2019-10-24,positive,0.608076149225235,0.1523042468354106,0.2396196076025565,0.5079547686721472,0.10012138055308784,0.9860501327557882
INTC,2020-01-23,positive,0.5325466125436565,0.1786899464204907,0.2887634286547408,0.608076149225235,-0.07552953668157847,0.9405547295016689
INTC,2020-04-23,positive,0.584005811416051,0.1261767007081824,0.2898174831095864,0.5325466125436565,0.051459198872394474,-1.7637181238819455
INTC,2020-07-23,positive,0.52605339884758,0.1441639568947721,0.3297826236812398,0.584005811416051,-0.05795241256847106,-1.0646856796152233
MSFT,2016-04-21,positive,0.4891474129011233,0.1684003583828194,0.3424522199978431,0.5053713184178752,-0.016223905516751902,0.34177838873245076
MSFT,2016-07-19,positive,0.4709238656279113,0.2041136636398732,0.3249624542271097,0.4891474129011233,-0.018223547273212015,-1.6123294483167743
MSFT,2016-10-20,neutral,0.4232430513400365,0.1179126707343932,0.4588442660649033,0.4709238656279113,-0.047680814287874795,-0.48670428972813207
MSFT,2017-01-26,positive,0.460949535585112,0.1192088837528394,0.4198415783337421,0.4232430513400365,0.0377064842450755,0.9264974704981747
MSFT,2017-04-27,neutral,0.4282858840189874,0.1223322625737637,0.4493818551767617,0.460949535585112,-0.03266365156612461,0.6486838023778124
MSFT,2017-07-20,positive,0.5581167017420133,0.2017993302498426,0.2400839527448018,0.4282858840189874,0.12983081772302596,0.487409277554405
MSFT,2017-10-26,positive,0.483171023526474,0.1018168536308956,0.4150121153185242,0.5581167017420133,-0.07494567821553932,0.16530907749398172
MSFT,2018-01-31,positive,0.5061464514583349,0.0708962102524108,0.4229573297003905,0.483171023526474,0.022975427931860914,2.4477233732434485
MSFT,2018-04-26,positive,0.566294582746923,0.0164318028371781,0.4172736183740199,0.5061464514583349,0.06014813128858809,2.1124556912214376
MSFT,2018-07-19,positive,0.6057186428457498,0.0835120810506244,0.3107692763209343,0.566294582746923,0.03942406009882682,-0.6849428055672075
MSFT,2018-10-24,positive,0.4772422791403882,0.0940318410832654,0.4287258748184232,0.6057186428457498,-0.12847636370536164,-5.346914509071741
